Date,Opponent,Venue,Result,"Result (Win, Draw, Lost)",Result (Win versus Points Lost),Points,Goals,Goals Against,Shots,Shots on Target,Shots on Target %,Goals Per Shot,Goals Per Shot on Target,Average Shot Distance,Free Kick Goals,Penalty Kick Goals,Penalty Kick Attempt,Expected Goals,Non-penalty Expected Goals,Non-penalty Expected Goals Per Shot,Goals Minus Expected Goals,Non Penalty Goals Minus Expected Non-penalty Goals,Shots on Target Against,Saves By Goalkeeper,Save Percentage By Goalkeeper,Clean Sheets,Post-shot Expected Goals,Post-shot Expected Goals Minus Goals,Passes Completed (Longer than 40 yards) By Goalkeeper,Passes Attempted (Longer than 40 yards) By Goalkeeper,Passes Completed Percentage (Longer than 40 yards) By Goalkeeper,Passes Attempted By Goalkeeper,Average Passes Length By Goalkeeper,Goals Kicks Attempted By Goalkeeper,Goals Kicks Attempted (Longer than 40 yards) ,Average Goal Kicks Length By Goalkeeper,Crosses Faced By Goalkeeper,Crosses Stopped By Goalkeeper,Crosses Stopped Percentage By Goalkeeper,Defensive Action Outside Penalty Area By Goalkeeper,Average Distance of Defensive Action By Goalkeeper,Passes Completed,Passes Attemped,Passes Completion Percentage,Total Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attemped,Short Passes Completion Percentage,Medium Passes Completed,Medium Passes Attemped,Medium Passes Completion Percentage,Long Passes Completed,Long Passes Attemped,Long Passes Completion Percentage,Assist,Expected Assisted Goals,Expected Assist,Key passes,Passes Into Final Third,Passes Into Penalty Area,Crosses Into Penalty Area,Progressive Passes,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Challenged Tribble Attempted,Challenged Tribble Successful Percentage,Blocks,Shots Blocked,Shot Against,Shots Block Percentage(%),Passes Blocked,Interception,Clearance,Errors,Possession (%),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-on (Dribble) Attempted,Take-on (Dribble) Success Percentage,Carries,Total Carries Distance,Progressive Carries Distance,Progressive Carries,Carries into Final Third,Carries Into Penalty Area,Miscontrols,Dispossesed,Yellow Card,Red Cards,Fouls Commited,Fouls Drawn,Offsides,Crosses,Interception,Tackles Won,Ball Recovery,Aerial Duel Won,Aerial Duel Lost,Arieal Duel Won Percentage
10/1/2023,Charlton Ath,Home,W,2,1,3,3,0,21,5,23.8,0.14,0.6,,,0,0,,,,,,2,2,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,7,,,,,,,,5,0,,7,,,69,,,,,,,,,,,,,,,,,2,0,11,6,5,11,7,7,,,,
14/1/2023,Manchester City,Home,W,2,1,3,2,1,8,3,37.5,0.25,0.67,14.8,0,0,0,1.7,1.7,0.21,0.3,0.3,1,0,0,0,0.9,-0.1,7,21,33.3,37,38.1,1,100,63,13,0,0,1,22.5,246,338,72.8,4220,1831,121,145,83.4,79,96,82.3,30,61,49.2,2,1.7,1.1,8,14,5,0,17,15,8,11,4,0,12,50,7,2,5,0.4,5,6,29,0,30,425,77,230,135,65,15,11,81.8,178,881,447,12,7,6,7,5,3,0,15,5,6,4,6,8,46,9,10,47.4
18/1/2023,Crystal Palace,Away,D,1,0,1,1,1,15,4,26.7,0.07,0.25,19.5,1,0,0,2.1,2.1,0.14,-1.1,-1.1,5,4,80,0,1.3,0.3,2,6,33.3,27,25.4,1,100,51,12,0,0,0,,535,663,80.7,8197,2965,308,345,89.3,185,211,87.7,30,68,44.1,1,2,1,13,38,15,3,65,32,18,16,15,1,22,81.8,12,2,10,0.2,10,12,18,0,60,802,65,221,419,170,27,15,13.3,531,2971,1618,34,23,2,14,14,2,0,10,8,0,15,12,18,91,9,13,40.9
22/1/2023,Arsenal,Away,L,0,0,0,2,3,6,4,66.7,0.33,0.5,18.2,0,0,0,0.4,0.4,0.06,1.6,1.6,5,2,40,0,2.7,-0.3,2,13,15.4,36,31.6,1,100,62,17,0,0,0,4,324,427,75.9,5134,1639,169,194,87.1,125,147,85,22,61,36.1,1,0.1,0.4,3,20,3,0,19,21,11,14,5,2,19,42.1,23,13,25,0.52,10,16,36,0,43,569,114,247,221,106,12,17,41.2,231,1317,594,10,12,2,17,11,2,0,9,8,4,9,16,11,57,16,11,59.3
25/1/2023,Nott'ham Forest,Away,W,2,1,3,3,0,15,6,40,0.2,0.5,,,0,0,,,,,,4,4,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,13,,,,,,,,13,0,,7,,,67,,,,,,,,,,,,,,,,,1,0,11,5,0,14,7,13,,,,
28/1/2023,Reading,Home,W,2,1,3,3,1,25,6,24,0.12,0.5,,,0,0,,,,,,2,1,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,12,,,,,,,,4,0,,4,,,78,,,,,,,,,,,,,,,,,1,0,10,8,3,22,4,12,,,,
1/2/2023,Nott'ham Forest,Home,W,2,1,3,2,0,13,6,46.2,0.15,0.33,,,0,0,,,,,,2,2,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,9,,,,,,,,5,0,,7,,,74,,,,,,,,,,,,,,,,,2,0,11,10,1,18,7,9,,,,
4/2/2023,Crystal Palace,Home,W,2,1,3,2,1,13,4,30.8,0.08,0.25,16.4,0,1,1,2,1.2,0.1,0,-0.2,3,2,66.7,0,0.6,-0.4,2,8,25,31,24.2,3,100,69,16,0,0,1,12.5,439,529,83,6951,2393,228,257,88.7,163,187,87.2,30,53,56.6,0,0.6,0.9,9,41,12,1,40,21,12,9,9,3,16,62.5,22,2,10,0.2,20,5,15,0,52,648,46,165,268,218,32,14,14.3,388,1822,1015,15,15,3,18,6,1,1,9,8,1,17,5,12,49,11,8,57.9
8/2/2023,Leeds United,Home,D,1,0,1,2,2,24,6,25,0.08,0.33,16.7,0,0,0,2,2,0.09,0,0,2,1,0,0,0.3,-0.7,0,0,,33,15,4,0,21.3,4,0,0,1,15.5,543,683,79.5,9504,2842,236,274,86.1,254,292,87,42,74,56.8,1,1.3,1.1,17,45,16,6,50,19,11,9,6,4,16,56.3,18,2,8,0.25,16,8,15,0,66,828,51,245,355,234,37,32,53.1,462,2667,1426,15,16,2,18,16,1,0,7,11,1,30,8,11,69,13,14,48.1
12/2/2023,Leeds United,Away,W,2,1,3,2,0,11,5,45.5,0.18,0.4,16.4,0,0,0,1.1,1.1,0.1,0.9,0.9,6,6,100,1,0.6,0.6,2,8,25,32,25.7,5,0,11.2,16,0,0,2,26,466,578,80.6,8787,2538,170,196,86.7,252,279,90.3,39,79,49.4,2,0.8,0.4,10,20,6,1,34,30,21,15,13,2,18,50,12,6,16,0.375,6,6,19,1,66,701,83,285,313,112,18,29,31,413,2089,1230,15,7,6,11,8,1,0,13,10,3,8,6,21,67,12,16,42.9
16/2/2023,Barcelona,Away,D,1,0,1,2,2,18,5,27.8,0.06,0.2,13.2,0,0,0,2.1,2.1,0.12,-1.1,-1.1,8,6,75,0,1.8,-0.2,5,20,25,26,38,8,100,68.1,17,0,0,1,10.7,251,344,73,4309,1766,126,150,84,92,110,83.6,23,55,41.8,0,1.8,2,14,24,9,2,26,20,12,13,4,3,24,37.5,23,3,18,0.166666667,20,7,24,1,40,487,83,193,152,147,32,14,42.9,247,1339,698,22,8,12,15,6,3,0,12,10,1,13,7,12,56,7,12,36.8
19/2/2023,Leicester City,Home,W,2,1,3,3,0,26,8,30.8,0.12,0.38,15.5,1,0,0,4.4,4.4,0.17,-1.4,-1.4,3,3,100,1,1.2,1.2,9,16,56.3,39,35.9,1,100,60,11,0,0,0,6,511,610,83.8,8574,3284,244,267,91.4,202,224,90.2,44,75,58.7,3,4.2,2.5,23,49,12,2,59,23,16,14,7,2,22,63.6,15,6,19,0.315789474,9,10,22,0,57,744,70,218,356,177,36,39,53.8,468,1907,931,22,10,8,15,10,0,0,9,8,0,18,10,16,70,16,7,69.6
23/2/2023,Barcelona,Home,W,2,1,3,2,1,12,5,41.7,0.17,0.4,17.4,0,0,0,1.1,1.1,0.1,0.9,0.9,3,2,100,0,1.7,0.7,4,13,30.8,26,38.1,4,50,37.8,11,0,0,1,18.5,269,375,71.7,4694,1955,128,154,83.1,101,126,80.2,31,64,48.4,1,0.9,0.6,7,22,3,0,26,20,10,10,9,1,25,24,15,1,5,0.2,14,8,16,1,43,493,59,180,195,125,21,21,28.6,274,1402,687,21,9,11,16,11,3,0,13,11,1,8,8,10,58,10,11,47.6
26/2/2023,Newcastle Utd,Home,W,2,1,3,2,0,14,9,64.3,0.14,0.22,,,0,0,,,,,,2,2,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,18,,,,,,,,15,0,,12,,,39,,,,,,,,,,,,,,,,,6,0,12,8,0,6,12,18,,,,
1/3/2023,West Ham,Home,W,2,1,3,3,1,22,8,36.4,0.09,0.25,,,0,0,,,,,,7,6,85.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,13,,,,,,,,10,0,,15,,,60,,,,,,,,,,,,,,,,,2,0,12,5,2,19,15,13,,,,
5/3/2023,Liverpool,Away,L,0,0,0,0,7,8,4,50,0,0,15.4,0,0,0,0.8,0.8,0.1,-0.8,-0.8,8,1,12.5,0,3.9,-3.1,6,16,37.5,21,40.6,5,80,53.8,15,1,6.7,0,5.7,247,361,68.4,4277,1873,124,152,81.6,88,119,73.9,26,59,44.1,0,0.8,0.9,8,25,5,1,24,15,10,8,7,0,17,47.1,13,5,18,0.277777778,8,9,28,0,41,477,75,182,193,105,15,28,35.7,238,1187,574,14,10,6,12,4,3,0,14,12,4,18,9,10,53,12,9,57.1
9/3/2023,Betis,Home,W,2,1,3,4,1,25,13,52,0.16,0.31,15.1,0,0,0,3,3,0.13,1,1,2,1,50,0,0.9,-0.1,1,6,16.7,26,30.3,1,0,17,5,0,0,2,18,422,528,79.9,7168,2774,190,213,89.2,164,196,83.7,44,66,66.7,2,2.4,2.2,17,44,16,5,52,19,12,9,7,3,25,40,23,3,6,0.5,20,11,17,0,56,672,50,194,282,204,50,24,45.8,384,1778,926,27,8,9,22,3,2,0,15,6,3,24,11,12,74,13,8,61.9
12/3/2023,Southampton,Home,D,1,0,1,0,0,10,4,40,0,0,15.4,0,0,0,0.8,0.8,0.09,-0.8,-0.8,4,4,100,1,0.7,0.7,5,16,31.3,26,34.1,7,100,64.3,14,2,14.3,1,11.8,337,437,77.1,5949,2385,155,181,85.6,137,161,85.1,35,67,52.2,0,0.8,0.6,9,27,8,1,31,21,8,7,12,2,17,52.9,20,9,17,0.529411765,11,3,28,0,47,555,72,224,210,125,19,20,55,294,1477,823,15,9,3,16,7,2,1,12,9,0,19,3,8,54,11,6,64.7
16/3/2023,Betis,Away,W,2,1,3,1,0,17,4,23.5,0.06,0.25,18.3,0,0,0,1.9,1.9,0.11,-0.9,-0.9,2,2,100,1,0.4,0.4,4,11,36.4,34,32.1,2,50,52,12,3,25,0,13.1,433,536,80.8,7034,2940,231,263,87.8,130,149,87.2,43,69,62.3,1,1.6,1,12,33,11,0,50,24,15,13,7,4,27,33.3,16,6,15,0.4,10,12,14,0,54,660,85,226,275,168,33,36,55.6,368,2012,1063,26,17,11,13,14,1,0,12,15,6,11,12,15,65,11,7,61.1
19/3/2023,Fulham,Home,W,2,1,3,3,1,16,10,62.5,0.13,0.2,,,1,1,,,,,,6,5,83.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,10,,,,,,,,12,0,,5,,,56,,,,,,,,,,,,,,,,,1,0,10,6,1,13,5,10,,,,
2/4/2023,Newcastle Utd,Away,L,0,0,0,0,2,6,1,16.7,0,0,14.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,6,4,66.7,0,3.1,1.1,3,9,33.3,29,24,8,62.5,44.9,13,0,0,2,18.3,361,451,80,6245,2368,170,195,87.2,147,174,84.5,34,55,61.8,0,0.4,0.4,6,22,9,1,35,18,12,9,8,1,20,45,15,6,22,0.272727273,9,9,25,1,54,570,93,242,242,94,16,26,34.6,374,2245,1055,20,17,4,11,7,0,0,12,8,0,12,9,12,59,8,14,36.4
5/4/2023,Brentford,Home,W,2,1,3,1,0,18,3,16.7,0.06,0.33,19.9,1,0,0,1.2,1.2,0.07,-0.2,-0.2,1,1,100,1,0.3,0.3,9,22,40.9,36,38.3,5,100,60,13,1,7.7,2,16.7,544,651,83.6,9252,3003,259,289,89.6,204,227,89.9,56,92,60.9,1,1,1.2,14,51,9,0,50,15,11,11,2,2,17,41.2,6,1,6,0.166666667,5,8,14,0,64,742,63,175,321,253,33,23,43.5,448,2158,1103,26,16,10,5,7,3,0,9,13,2,18,8,11,47,23,17,57.5
8/4/2023,Everton,Home,W,2,1,3,2,0,29,11,37.9,0.07,0.18,16.5,0,0,0,3.4,3.4,0.12,-1.4,-1.4,1,1,100,1,0.1,0.1,4,10,40,29,29.7,2,50,44,14,0,0,0,6,560,648,86.4,8490,3001,320,346,92.5,161,174,92.5,46,78,59,2,2.5,2.2,24,35,18,3,45,10,6,5,5,0,14,42.9,13,6,15,0.4,7,7,23,0,63,774,67,244,316,222,53,32,40.6,569,2390,1163,23,16,12,13,14,0,0,10,9,3,9,7,6,68,14,14,50
13/4/2023,Sevilla,Home,D,1,0,1,2,2,12,5,41.7,0.17,0.4,14.4,0,0,0,1.7,1.7,0.15,0.3,0.3,3,3,33.3,0,0.5,0.5,3,12,25,36,30.3,2,100,66.5,21,0,0,0,,368,473,77.8,5916,2285,189,221,85.5,130,156,83.3,36,67,53.7,2,1.6,1.3,10,23,7,1,33,14,13,12,2,0,15,53.3,15,2,13,0.153846154,13,8,29,0,55,592,90,269,225,111,30,28,57.1,341,1735,834,24,9,9,15,9,3,0,13,11,2,12,8,13,60,8,20,28.6
16/4/2023,Nott'ham Forest,Away,W,2,1,3,2,0,22,7,31.8,0.09,0.29,15.4,1,0,0,3.5,3.5,0.18,-1.5,-1.5,0,0,,1,0,0,7,10,70,31,31.3,8,37.5,36.3,10,1,10,0,7.7,534,658,81.2,8971,3392,249,281,88.6,219,246,89,44,77,57.1,1,2.6,1.8,16,45,24,4,73,12,10,4,4,4,10,70,19,2,6,0.333333333,17,12,16,1,68,767,66,210,287,276,40,23,52.2,513,2387,1300,26,22,3,9,11,2,0,9,8,3,19,12,10,63,15,13,53.6
20/4/2023,Sevilla,Away,L,0,0,0,0,3,16,3,18.8,0,0,19.9,1,0,0,1,1,0.06,-1,-1,6,3,50,0,1.8,-1.2,0,3,0,20,26.7,4,0,17.8,15,0,0,4,19,425,514,82.7,7399,2735,206,232,88.8,163,186,87.6,44,70,62.9,0,0.8,0.7,13,37,7,2,43,21,13,11,10,0,16,43.8,16,10,20,0.5,6,6,21,2,61,641,60,217,279,149,21,18,44.4,436,2217,1322,21,16,3,16,10,3,0,12,14,0,13,6,13,51,22,13,62.9
23/4/2023,Brighton,Neutral,D,1,0,1,0?(7),0?(6),15,6,40,0,0,,,0,0,,,,,,5,5,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,11,,,,,,,,15,0,,15,,,39,,,,,,,,,,,,,,,,,3,0,13,17,1,15,15,11,,,,
27/4/2023,Tottenham,Away,D,1,0,1,2,2,17,7,41.2,0.12,0.29,17.9,2,0,0,2,2,0.12,0,0,7,5,71.4,0,1.7,-0.3,6,22,27.3,37,40.8,4,100,57,14,1,7.1,0,5,539,642,84,9644,3091,250,278,89.9,217,244,88.9,60,96,62.5,2,1.7,1,11,46,11,1,53,16,13,11,2,3,16,43.8,8,3,18,0.166666667,5,14,21,0,60,755,86,233,333,195,31,19,36.8,530,2278,1162,21,15,11,11,7,2,0,7,8,3,19,14,13,52,11,12,47.8
30/4/2023,Aston Villa,Home,W,2,1,3,1,0,14,6,42.9,0.07,0.17,19,0,0,0,1.2,1.2,0.09,-0.2,-0.2,1,1,100,1,0.1,0.1,3,10,30,23,34.7,2,50,38.5,6,0,0,2,16.3,463,552,83.9,8375,2834,208,228,91.2,192,207,92.8,51,88,58,0,1,1.1,11,34,10,0,40,14,11,7,5,2,10,50,12,3,7,0.428571429,9,12,15,0,57,650,50,218,298,138,29,16,50,315,1474,728,11,10,7,18,8,2,0,16,7,7,6,12,11,64,6,6,50
4/5/2023,Brighton,Away,L,0,0,0,0,1,16,5,31.3,0,0,18.5,1,0,0,1.4,1.4,0.09,-1.4,-1.4,6,5,100,0,2.1,1.1,6,22,27.3,35,40.6,6,100,66,13,0,0,0,16,306,407,75.2,5038,2284,161,186,86.6,117,141,83,23,53,43.4,0,1.3,1.1,14,25,9,1,37,20,13,8,11,1,22,54.5,17,5,21,0.238095238,12,6,13,1,41,524,93,218,185,124,17,21,52.4,254,987,490,9,8,5,9,6,4,0,14,9,2,6,6,13,60,7,12,36.8
7/5/2023,West Ham,Away,L,0,0,0,0,1,19,4,21.1,0,0,18.2,0,0,0,1.2,1.2,0.06,-1.2,-1.2,4,3,75,0,0.7,-0.3,2,8,25,35,30.2,5,0,14.2,16,1,6.3,2,12.3,614,712,86.2,9913,3447,295,317,93.1,257,286,89.9,42,73,57.5,0,1,1.4,17,38,15,2,59,14,7,5,5,4,13,23.1,13,6,15,0.4,7,10,19,2,65,835,86,253,357,231,34,19,52.6,479,2233,1353,25,19,6,12,8,2,0,9,3,1,8,10,7,52,15,17,46.9
13/5/2023,Wolves,Home,W,2,1,3,2,0,27,9,33.3,0.07,0.22,19.3,2,0,0,3.2,3.2,0.12,-1.2,-1.2,0,0,,1,0,0,1,13,7.7,23,37.8,5,60,53.6,17,0,0,2,28.5,382,476,80.3,6036,2271,189,206,91.7,148,170,87.1,26,58,44.8,2,2.8,1.7,22,30,12,1,58,13,8,2,7,4,21,23.8,9,0,5,0,9,8,25,0,48,593,60,157,229,215,38,19,68.4,340,1682,945,22,17,12,16,3,3,0,9,9,0,15,8,8,63,16,14,53.3
20/5/2023,Bournemouth,Away,W,2,1,3,1,0,20,5,25,0.05,0.2,18.7,0,0,0,1.4,1.4,0.07,-0.4,-0.4,4,4,100,1,0.6,0.6,1,8,12.5,21,31.5,2,100,66.5,11,0,0,1,13,587,697,84.2,9189,2932,317,353,89.8,194,221,87.8,51,77,66.2,0,0.9,1.1,15,53,11,0,57,26,19,8,12,6,19,57.9,9,3,10,0.3,6,5,15,0,59,804,58,200,332,279,35,25,60,460,2318,1275,27,14,11,15,7,0,0,7,6,2,13,5,19,70,13,7,65
25/5/2023,Chelsea,Home,W,2,1,3,4,1,17,8,47.1,0.18,0.38,15.3,0,1,1,5.2,4.4,0.29,-1.2,-1.4,5,4,80,0,1,0,5,10,50,20,31.5,10,40,33.6,8,0,0,0,17,389,464,83.8,6403,2759,198,219,90.4,140,159,88.1,36,46,78.3,2,3.2,2.2,15,28,15,0,35,19,10,13,4,2,31,38.7,15,4,14,0.285714286,11,4,11,0,42,575,75,232,195,151,34,24,58.3,327,1777,1027,27,11,7,15,12,1,0,12,6,0,4,4,10,50,4,8,33.3
28/5/2023,Fulham,Home,W,2,1,3,2,1,21,8,38.1,0.1,0.25,20.7,1,0,0,2.9,2.9,0.14,-0.9,-0.9,3,1,66.7,0,1.4,0.4,3,8,37.5,24,29.4,6,33.3,34.3,14,0,0,0,18,428,516,82.9,6771,2452,225,253,88.9,170,189,89.9,22,47,46.8,1,2,1.5,18,28,13,1,45,19,15,6,11,2,14,50,9,1,9,0.111111111,8,14,11,0,53,619,61,185,273,166,29,21,42.9,310,1369,680,16,10,8,9,4,1,0,14,10,1,12,14,15,58,13,15,46.4
3/6/2023,Manchester City,Neutral,L,0,0,0,1,2,13,3,23.1,0,0,,,1,1,,,,,,5,3,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,7,,,,,,,,11,0,,8,,,,,,,,,,,,,,,,,,,,2,0,11,10,3,13,8,7,,,,
